trip_id,delay,timestamp,temperature,precipitation,rain,showers,snowfall
1984959,26,1784921947,25.5,0.0,0.0,0.0,0.0
1996823,91,1784921960,25.5,0.0,0.0,0.0,0.0
1984898,11,1784921951,25.5,0.0,0.0,0.0,0.0
1984197,-226,1784924894,25.5,0.0,0.0,0.0,0.0
1984335,97,1784921977,25.5,0.0,0.0,0.0,0.0
1997422,0,1784923800,25.5,0.0,0.0,0.0,0.0
1996643,-86,1784921855,25.5,0.0,0.0,0.0,0.0
1995541,0,1784925360,25.5,0.0,0.0,0.0,0.0
1997367,-730,1784921510,25.5,0.0,0.0,0.0,0.0
1995370,6,1784921977,25.5,0.0,0.0,0.0,0.0
1996076,-242,1784921685,25.5,0.0,0.0,0.0,0.0
1995544,19,1784921942,25.5,0.0,0.0,0.0,0.0
1995819,-240,1784921700,25.5,0.0,0.0,0.0,0.0
1984962,0,1784922780,25.5,0.0,0.0,0.0,0.0
1996281,317,1784921944,25.5,0.0,0.0,0.0,0.0
1997042,0,1784925240,25.5,0.0,0.0,0.0,0.0
1997348,0,1784923380,25.5,0.0,0.0,0.0,0.0
1989031,-45,1784924775,25.5,0.0,0.0,0.0,0.0
1997164,404,1784921960,25.5,0.0,0.0,0.0,0.0
1984768,-5,1784924455,25.5,0.0,0.0,0.0,0.0
1984756,-85,1784921840,25.5,0.0,0.0,0.0,0.0
1996712,0,1784923980,25.5,0.0,0.0,0.0,0.0
1995423,-17,1784923363,25.5,0.0,0.0,0.0,0.0
1993034,-117,1784922963,25.5,0.0,0.0,0.0,0.0
1996904,-1399,1784921081,25.5,0.0,0.0,0.0,0.0
1997396,0,1784925540,25.5,0.0,0.0,0.0,0.0
1995772,0,1784924520,25.5,0.0,0.0,0.0,0.0
1992924,0,1784923260,25.5,0.0,0.0,0.0,0.0
1995342,0,1784925000,25.5,0.0,0.0,0.0,0.0
1996016,36,1784921867,25.5,0.0,0.0,0.0,0.0
1985229,0,1784925000,25.5,0.0,0.0,0.0,0.0
1996240,715,1784922415,25.5,0.0,0.0,0.0,0.0
1984552,0,1784924400,25.5,0.0,0.0,0.0,0.0
1984394,0,1784925180,25.5,0.0,0.0,0.0,0.0
1997077,0,1784922660,25.5,0.0,0.0,0.0,0.0
1995790,0,1784924580,25.5,0.0,0.0,0.0,0.0
1996402,0,1784925000,25.5,0.0,0.0,0.0,0.0
1996021,0,1784923320,25.5,0.0,0.0,0.0,0.0
1988893,358,1784922198,25.5,0.0,0.0,0.0,0.0
1996588,-1230,1784921730,25.5,0.0,0.0,0.0,0.0
1992648,0,1784922840,25.5,0.0,0.0,0.0,0.0
1997366,166,1784921942,25.5,0.0,0.0,0.0,0.0
1995341,-59,1784923021,25.5,0.0,0.0,0.0,0.0
1989473,808,1784922148,25.5,0.0,0.0,0.0,0.0
1997410,253,1784921885,25.5,0.0,0.0,0.0,0.0
1996648,0,1784922540,25.5,0.0,0.0,0.0,0.0
1995745,0,1784922960,25.5,0.0,0.0,0.0,0.0
1995807,0,1784924520,25.5,0.0,0.0,0.0,0.0
1984854,58,1784921934,25.5,0.0,0.0,0.0,0.0
1988785,-1470,1784921190,25.5,0.0,0.0,0.0,0.0
1992868,0,1784922540,25.5,0.0,0.0,0.0,0.0
1992615,-1,1784921926,25.5,0.0,0.0,0.0,0.0
1996349,0,1784925420,25.5,0.0,0.0,0.0,0.0
1984755,132,1784921928,25.5,0.0,0.0,0.0,0.0
1996829,0,1784925540,25.5,0.0,0.0,0.0,0.0
1988968,-394,1784921906,25.5,0.0,0.0,0.0,0.0
1984485,147,1784921972,25.5,0.0,0.0,0.0,0.0
1995485,84,1784921927,25.5,0.0,0.0,0.0,0.0
1996761,0,1784924820,25.5,0.0,0.0,0.0,0.0
1996587,41,1784921915,25.5,0.0,0.0,0.0,0.0
1993176,109,1784922019,25.5,0.0,0.0,0.0,0.0
1997140,39,1784924979,25.5,0.0,0.0,0.0,0.0
1997264,-193,1784921807,25.5,0.0,0.0,0.0,0.0
1988965,-48,1784921932,25.5,0.0,0.0,0.0,0.0
1988888,399,1784921913,25.5,0.0,0.0,0.0,0.0
1996243,0,1784925120,25.5,0.0,0.0,0.0,0.0
1989475,-155,1784922085,25.5,0.0,0.0,0.0,0.0
1995487,197,1784921917,25.5,0.0,0.0,0.0,0.0
1984249,23,1784921934,25.5,0.0,0.0,0.0,0.0
1985251,-60,1784921859,25.5,0.0,0.0,0.0,0.0
1996906,-4,1784921913,25.5,0.0,0.0,0.0,0.0
1996115,255,1784921955,25.5,0.0,0.0,0.0,0.0
1996570,0,1784923380,25.5,0.0,0.0,0.0,0.0
1989088,66,1784922066,25.5,0.0,0.0,0.0,0.0
1989093,0,1784923080,25.5,0.0,0.0,0.0,0.0
1984338,0,1784923980,25.5,0.0,0.0,0.0,0.0
1995789,0,1784922600,25.5,0.0,0.0,0.0,0.0
1984697,182,1784921956,25.5,0.0,0.0,0.0,0.0
1984461,97,1784921917,25.5,0.0,0.0,0.0,0.0
1984239,-1116,1784921544,25.5,0.0,0.0,0.0,0.0
1996644,16,1784921956,25.5,0.0,0.0,0.0,0.0
1997255,422,1784922062,25.5,0.0,0.0,0.0,0.0
1988872,0,1784925540,25.5,0.0,0.0,0.0,0.0
1985088,-263,1784921917,25.5,0.0,0.0,0.0,0.0
1984918,0,1784923200,25.5,0.0,0.0,0.0,0.0
1997347,268,1784921925,25.5,0.0,0.0,0.0,0.0
1996100,-51,1784921873,25.5,0.0,0.0,0.0,0.0
1984551,0,1784923020,25.5,0.0,0.0,0.0,0.0
1996400,-88,1784921838,25.5,0.0,0.0,0.0,0.0
1995771,58,1784922598,25.5,0.0,0.0,0.0,0.0
1997109,31,1784921911,25.5,0.0,0.0,0.0,0.0
1996417,0,1784924880,25.5,0.0,0.0,0.0,0.0
1996824,-107,1784921833,25.5,0.0,0.0,0.0,0.0
1995420,7,1784921931,25.5,0.0,0.0,0.0,0.0
1996604,0,1784923980,25.5,0.0,0.0,0.0,0.0
1988971,0,1784924460,25.5,0.0,0.0,0.0,0.0
1984175,-170,1784921783,25.5,0.0,0.0,0.0,0.0
1995932,-9,1784924931,25.5,0.0,0.0,0.0,0.0
1985335,-76,1784924924,25.5,0.0,0.0,0.0,0.0
1996238,3,1784921976,25.5,0.0,0.0,0.0,0.0
1993167,-402,1784921598,25.5,0.0,0.0,0.0,0.0
1984339,-44,1784924896,25.5,0.0,0.0,0.0,0.0
1989264,-102,1784922798,25.5,0.0,0.0,0.0,0.0
1996450,1044,1784921907,25.5,0.0,0.0,0.0,0.0
1988890,4,1784922004,25.5,0.0,0.0,0.0,0.0
1989203,0,1784922180,25.5,0.0,0.0,0.0,0.0
1996130,321,1784921920,25.5,0.0,0.0,0.0,0.0
1996169,-228,1784924952,25.5,0.0,0.0,0.0,0.0
1984609,267,1784921911,25.5,0.0,0.0,0.0,0.0
1996132,0,1784924580,25.5,0.0,0.0,0.0,0.0
1992893,-16,1784923904,25.5,0.0,0.0,0.0,0.0
1995841,190,1784922005,25.5,0.0,0.0,0.0,0.0
1984815,-3,1784921877,25.5,0.0,0.0,0.0,0.0
1984389,329,1784921962,25.5,0.0,0.0,0.0,0.0
1992723,-198,1784924322,25.5,0.0,0.0,0.0,0.0
1996330,0,1784925060,25.5,0.0,0.0,0.0,0.0
1992678,177,1784921907,25.5,0.0,0.0,0.0,0.0
1984188,-124,1784921936,25.5,0.0,0.0,0.0,0.0
1995708,60,1784921921,25.5,0.0,0.0,0.0,0.0
1996088,-66,1784923134,25.5,0.0,0.0,0.0,0.0
1993011,261,1784921959,25.5,0.0,0.0,0.0,0.0
1984610,-1,1784921879,25.5,0.0,0.0,0.0,0.0
1985408,0,1784924700,25.5,0.0,0.0,0.0,0.0
1996603,-418,1784921582,25.5,0.0,0.0,0.0,0.0
1996713,0,1784924880,25.5,0.0,0.0,0.0,0.0
1997078,-1,1784923619,25.5,0.0,0.0,0.0,0.0
1996905,-115,1784921891,25.5,0.0,0.0,0.0,0.0
1995542,0,1784923980,25.5,0.0,0.0,0.0,0.0
1988788,-147,1784924673,25.5,0.0,0.0,0.0,0.0
1996328,57,1784921937,25.5,0.0,0.0,0.0,0.0
1996702,219,1784922399,25.5,0.0,0.0,0.0,0.0
1992784,565,1784923765,25.5,0.0,0.0,0.0,0.0
1997267,0,1784924520,25.5,0.0,0.0,0.0,0.0
1996077,-429,1784921691,25.5,0.0,0.0,0.0,0.0
1995489,-72,1784923308,25.5,0.0,0.0,0.0,0.0
1997080,0,1784925540,25.5,0.0,0.0,0.0,0.0
1996020,-1148,1784921272,25.5,0.0,0.0,0.0,0.0
1989094,0,1784924040,25.5,0.0,0.0,0.0,0.0
1993166,-39,1784922021,25.5,0.0,0.0,0.0,0.0
